Sr #,Symbol,Sector,Type,Status,Qty,Buy Price,Entry Date,LTP,Ageing,Risk (ATR),Planned R:R,Pot. Profit,P&L,Stop Loss,Target 1,Target 2,Quality,AI Analysis,Rationale,Lessons,Exit Price,Exit Date,Exit Reason,Chart
1,RELIANCE,NSE:CNXENERGY,Swing,🔴 Losing,146,1358.325,2024-10-15,1309.5,614 days,🟢 3.6x ATR,1:3.5,₹71959.75,-₹7128.45,1217,1643.2,1851.2,3-Star,🤖 [Analyst Proxy]: Trend structure for RELIANCE is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,yyyyyyy,0,,,
2,COALINDIA,NSE:CNXENERGY,Swing,🟢 Winning,263,444.23422,2026-02-09,451.3,132 days,🟢 3.3x ATR,1:3.5,₹26159.50,₹1858.30,415.5,502,543.7,3-Star,🤖 [Analyst Proxy]: Trend structure for COALINDIA is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
3,SAILIFE,NSE:CNXPHARMA,Swing,🟢 Winning,47,1049.15,2026-04-16,1216.4,66 days,🟢 4.2x ATR,1:3.5,₹16828.35,₹7860.75,1049.2,1252.2,1407.2,5-Star,🤖 [Analyst Proxy]: Trend structure for SAILIFE is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
4,ANANDRATHI,Financial Services,Swing,🟢 Winning,54,1787.7797,2026-04-29,1867.5,53 days,🟢 5.9x ATR,1:3.5,₹36899.30,₹4304.90,1592.8,2170.2,2471.1,5-Star,🤖 [Analyst Proxy]: Trend structure for ANANDRATHI is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
5,GESHIP,Services,Swing,🔴 Losing,62,1596.7227,2026-06-02,1437.7,19 days,🟢 2.6x ATR,1:3.5,₹64807.19,-₹9859.41,1297.1,2197,2642,3-Star,🤖 [Analyst Proxy]: Trend structure for GESHIP is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
6,NESTLEIND,FMCG,Swing,🔴 Losing,69,1438.3652,2026-06-02,1414.8,19 days,🟢 3.5x ATR,1:5.0,₹46425.60,-₹1626.00,1303.7,1844.2,2111.2,5-Star,🤖 [Analyst Proxy]: Trend structure for NESTLEIND is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
7,NAM-INDIA,Financial Services,Swing,🟢 Winning,93,1068.1042,2026-06-02,1186.9,19 days,🟢 6.0x ATR,1:3.5,₹45392.91,₹11048.01,928.8,1352.2,1556.2,5-Star,🤖 [Analyst Proxy]: Trend structure for NAM-INDIA is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
8,NETWEB,Nifty IT,Swing,🟢 Winning,24,4471.6123,2026-06-08,5060.9,13 days,🟢 5.5x ATR,1:3.5,₹80054.10,₹14142.90,3517.9,6384.2,7807.2,5-Star,🤖 [Analyst Proxy]: Trend structure for NETWEB is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
9,CAPLIPOINT,Pharma,Swing,🟢 Winning,54,2103.3167,2026-06-08,2503.5,13 days,🟢 4.0x ATR,1:66160.7,₹59663.70,₹21609.90,2103.3,2749.2,3208.2,3-Star,🤖 [Analyst Proxy]: Trend structure for CAPLIPOINT is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
10,VIJAYA,Pharma,Positional,🟢 Winning,62,1275.1935,2026-06-16,1364.2,5 days,🟢 4.7x ATR,1:5.0,₹65677.00,₹5518.40,1063.4,1695.5,2334.5,5-Star,🤖 [Analyst Proxy]: Trend structure for VIJAYA is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
11,TRITURBINE,Capital Goods (BSE),Positional,🟢 Winning,120,661.935,2026-06-16,672.3,5 days,🟢 4.9x ATR,1:1.3,₹19147.80,₹1243.80,541.9,757.5,821.5,3-Star,🤖 [Analyst Proxy]: Trend structure for TRITURBINE is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
12,ACUTAAS,Nifty Commodities,,🟢 Winning,26,3062.1,2026-06-21,3246.2,0 days,🟢 3.2x ATR,1:3.7,₹27362.40,₹4786.60,2774.6,3487.2,4114.5,4-Star,🤖 [Analyst Proxy]: Trend structure for ACUTAAS is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
13,LAURUSLABS,,,🟢 Winning,116,1377.1534,2026-06-21,1412.9,0 days,🟢 4.0x ATR,1:10.9,₹152348.21,₹4146.61,1256.2,1908.5,2690.5,5-Star,🤖 [Analyst Proxy]: Trend structure for LAURUSLABS is structurally healthy. Momentum validates the entry with sufficient buffer from primary invalidation. Monitor for secondary VCP.,,,,,,
